Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2
""" Da Franco a Leverano"" un posto del cuore ❤️",g1009327-d1457587,1 settembre 2023,couples,"Nelle ormai decennali vacanze salentine è ormai quasi un rito tornare almeno una volta a Leverano da Franco, il re della pizza, il vincitore del Guinness dei primati con la sua pizza di 4 metri di diametro... Franco purtroppo ormai non c'è più, il record forse è stato dimenticato ma l' impronta dell' ospitalità e dell'accoglienza che lui diede al suo locale è rimasta intatta. Tutto nella bellissima struttura con le caratteristiche volte è rimasto genuino e autentico. Dalle proposte del menù, che sanno di tradizione e cura nella scelta delle materie prime e nella preparazione, al personale... Definirli camerieri, con tutto il rispetto che questo lavoro merita, è riduttivo... Non accolgono il ""cliente"" ma gli ""ospiti"" che consigliano con competenza e discrezione... Da parte mia e di mio marito un grazie particolare a Luca, che ci ha fatto sentire persone di famiglia in modo sincero e direi affettuoso. I valori tradizionali che contraddistinguono i rapporti interpersonali non passano mai di moda...E ieri sera ne abbiamo avuta la conferma... 🔝🔝🔝","Punteggio 5,0 su 5","",""
""" una grande spaghettata """,g1005937-d2255659,11 dicembre 2023,friends,"Ristorante situato ai piedi dei monti marchigiani che offre una ampia scelta di piatti semplici e tradizionali.  È celebre per la sua mitica carbonara con salsiccia la quale può essere ordinata a peso anziché a porzione, posso dire che è davvero buona al punto che le dosi giganti vengono sistematicamente finite da tutti i commensali. Raccomando anche le costolette di agnello e le bietole di campo come contorno che ho trovato di rara bontà e freschezza. 
Prezzi onesti, servizio gentile e veloce. 
Un gran bel posto, capisco perché sia sempre difficile trovare un tavolo disponibile.","Punteggio 5,0 su 5","",""
""" Un'oasi di lusso!!! Nello splendito scenario della valle di Ginosa!!!",g1007734-d3470977,29 marzo 2020,none,"IL 25-9-19 dopo circa tre anni siamo ritornati per festeggiare il matrimonio
di mio fratello. Un matrimonio da sogno realizzato a Imperatore di Puglia.
Si nota il rinnovamento totale della struttura, molto curata e di alta classe,
con uno scenario impareggiabile  della sua maestosa sala di lusso,
circondata da ampi spazi comuni e verdi giardini signorili, tutto curato
nei minimi dettagli, un'eccellenza dal punto di vista della struttura. 
Nelle recensione non si parla mai dello chef: Angelo Lilli dove offre un             servizio impeccabile,  curato nei minimi dettagli, con delizie per palati più
raffinati, capace di coniugare il piacere alla fantasia con il gusto delle
nostre tradizioni. IL suo staff altamente qualificato alle varie maestranze
ti accoglie dal primo istante con un sorriso radioso,dove mettono
in risalto le varie scenografie dagli antipasti, ai primi, ai secondi,
con una eccellenza rappresentativa della frutta e disposizione dolci                            e torte. IL proprietario Angelo D'Anzi: ineccepibile come sempre
garantisce divinamente un matrimonio da favola.","Punteggio 5,0 su 5","",""
.,g1006191-d9790641,11 novembre 2019,family,Bel locale sono venuto a mangiare con la mia famiglia. Sono siciliano ma abito a londra e vome al solito la cucina siciliana non mi delude mai,"Punteggio 5,0 su 5","",""
............,g1007324-d3161656,18 marzo 2024,couples,Mi avevano parlato di questo ristorante tra i migliori di acitrezza.....ebbene.......lascio commentare... dai gamberi rossi di nassa ai ricci freschi locali..........,"Punteggio 1,0 su 5","",""
..aumenti sproporzionati,g1015371-d4421447,31 maggio 2023,family,"Poco tempo fa per una teglia di cecina 12 euro e stasera la brutta sorpresa...16 euro !! Ma dai..., un aumento di 4 euro !? Esagerato e anche se buona non è l'unico posto dove la vendono.","Punteggio 1,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/59/16/7c/caption.jpg,""
“signorini e signorine” provate questa meraviglia!,g1007735-d6902852,5 giugno 2023,family,ottima cucina. servizio impeccabile! gradisco molto la genuinità e la simpatia del personale. consiglio vivamente di provarlo,"Punteggio 5,0 su 5","",""
… piacevole sorpresa.,g1009281-d2242617,10 settembre 2022,couples,"Si, ho dato 5 stelle! 
Posto rinnovato, cucina con prodotti di qualità, il tutto ben gestito da Marco & Sara, che con il modo di fare vi faranno sentire a casa!","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/25/be/6c/dc/caption.jpg,""
…SOLAMENTE PER UN CAFFÈ!!…,g1007324-d3384771,8 ottobre 2023,friends,…mi sono fermata in questo locale “Eden caffè” a Acitrezza solamente per un caffè e usufruito del servizio!!…prima di fare ritorno con il nostro pullman e rientrare a casa!!…bel localino che si trova sulla via principale e a pochi metri dalla Chiesa del paese!!…con ampia scelta di dolce e di salato!!…e con personale disponibile e gentile!!…specialmente la ragazza sorridente che è venuta al tavolo a prendere l’ordine!!…,"Punteggio 3,0 su 5","",""
1 maggio da il covo 💫,g1007324-d1751684,1 maggio 2024,friends,"Abbiamo pranzato in questo ristorante e siamo rimasti entusiasti! Ottimi prodotti ittici dal gusto che ci ha entusiasmato. Lo consiglio anche perché il servizio è stato graditissimo, i camerieri super gentili nonostante c'era molta confusione.","Punteggio 5,0 su 5","",""
1 Novembre 2023,g1005972-d2188855,2 novembre 2023,friends,"Tutto benissimo, cura e servizio eccellenti piatti curati e abbondanti. 
Prezzo nella norma, lo consiglio per passare una bella giornata in compagnia","Punteggio 5,0 su 5","",""
10 con lode tra 18000 locali su Catania e provincia,g1007324-d1751684,5 aprile 2024,couples,"Quello che non si trova spesso a Catania lo trovi al Covo Marino di Acitrezza.Personale molto preparato e cortese,materia prima di pesce SPETTACOLARE.
Lochescion sul mare che abraccia l'isola LAKEA.","Punteggio 5,0 su 5","",""
10 e lode !!!!,g1009281-d1898914,2 aprile 2023,couples,"Gentilezza, qualità, prezzo e professionalità !!!!! Penso ci sia poco da aggiungere.....sicuramente una piacevole scoperta e l'unico rammarico è che siamo un po' distanti. Bravi davvero e vhe possiate continuare sempre così.","Punteggio 5,0 su 5","",""
10 e lode!,g1015351-d3484812,26 settembre 2020,none,"Arrivati a Calasetta non abbiamo potuto fare a meno di notare questo piccolo locale affacciato sul porto. Per tutti i giorni della nostra permanenza abbiamo fatto colazione lì, assaporando delle vere golosità, torte e brioche appena sfornate, pane e burro accompagnato da marmellata di prugne rosse buonissima e con la possibilità di scegliere colazione dolce o salata con prodotti a km zero.
Non ci siamo mancare anche un'ottima cenetta, ottimo servizio, cucina un po' sarda e un po' ligure, tipica della zona, pietanze gustose e saporite.
Lori e Raffa padrone di casa cordiali, simpatiche e soprattutto molto disponibili va tutto il nostro sincero ringraziamento per averci fatto sentire come a casa.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/1c/14/16/54/dolce-o-salato-imbarazzo.jpg,""
100,g1007733-d2277403,30 aprile 2024,friends,"Location eccellente ,accogliente,personale gentilissimo e cibo squisito. Lo consiglio a tutti per chi vuole conoscere i sapori della nostra terra.","Punteggio 5,0 su 5","",""
25 aprile a Castelmezzano,g1005972-d10746837,25 aprile 2024,couples,"Ci siamo imbattuti per caso in questo locale, molto caratteristico, in un vicoletto non lontano dalla piazza principale.
Un buon bicchiere di aglianico,peperoni cruschi, un ottimo tagliere di salumi e formaggi locali, le pinse, le zuppe, ci hanno ridato enegia dopo una lunga passeggiata😉
Alta la qualità degli ingredienti.
Personale cortese e disponibile, ci hanno fatto anche assaggiare il vero amaro Lucano.
Ah, non dimenticate di dare un occhio alla dispensa, porterete a casa un pó di Lucania autentica.","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/f5/2f/6b/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2b/f5/2f/6c/caption.jpg
5 stelle consigliato,g1007734-d6591378,2 marzo 2023,friends,"Ottima braceria, location molto carina, pulita ed accogliente 
Siamo rimasti molto contenti in quanto la carne merita tanto.
Personale molto simpatico soprattutto la titolare Annarosa, con i dolci che prepara lei personalmente conquista tutti.
Consigliato","Punteggio 5,0 su 5","",""
5 stelleeeee senza glutine e lattosio,g1009327-d4287888,13 aprile 2024,family,"Dove sentirsi a casa. E dove la celiachia e l'intolleranza non é un problema, dall'antipasto al dolce menù completo ..... 
Il top Francesco e il suo staff
5 stelle per Re Matto","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2b/db/f2/5d/caption.jpg,""
60° e pensionamento,g1007735-d8374873,2 febbraio 2023,family,"Abbiamo festeggiato il 1 febbraio, il 60° Compleanno e pensionamento di mio marito. Il luogo è incantevole, i camerieri bravissimi e gentilissimi. Ma il top è il proprietario  Michele. Tutti simpaticissimi, attenti alle richieste del cliente e premurosi. La cena è iniziata con il cocktail di benvenuto, il buffet servito in maniera impeccabile, il primo era ottimo, gli ospiti hanno gradito il ripasso, e il buffet di frutta con la torta. Michele sempre presente, prontamente qualcuno è stato servito al tavolo. Che dire, serata stupenda.. 
Grazie  Michele.
Servizio5,0 😘","Punteggio 5,0 su 5","",""
A,g1006192-d8493990,21 agosto 2022,family,"Proprietari scortesi e senza rispetto nei confronti dei clienti. Bagni sporchi, senza detersivo per le mani e asciugamani rotto. Sconsigliato","Punteggio 1,0 su 5","",""
A  CENA  SUL  MARE,g1015351-d13976411,15 settembre 2023,friends,"Dopo quattro anni sono tornato in questa splendida pizzeria. La motivazione è solo la pigrizia, perché il locale meritava certamente una maggiore attenzione da parte mia. Solo l'affaccio sul mare e sulla spiaggia valgono una visita, ma la pizza che viene prodotta è una delle migliori che abbia mai assaggiato. Il Proprietario è cortese e accogliente e non si sottrae ad effettuari il servizio ai tavoli, collaborando con il Personale gentile e disponibile. L'arredamento delle sale è molto curato. La Pizzeria Acqua & Sale merita certamente una visita.","Punteggio 4,0 su 5","",""
A Cagli per la carbonara de Il Poggio,g1005937-d2255659,8 maggio 2024,family,Ottimo ristorante di cucina locale rinomato per la carbonara. Ottima qualità e porzioni abbondanti. Noi abbiamo mangiato una carbonara classica e una con il tartufo. Servizio veloce e personale gentilissimo. Consigliato.,"Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2c/19/89/67/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/2c/19/89/66/caption.jpg
