Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2
¡¡Riquisimas!!,g1007885-d5864448,"",couples,"No somos muy aficionados a las hamburguesas, pero tengo que decir que nos ha sorprendido gratamente este restaurante, la amabilidad del personal al aconsejarnos y sobretodo por lo buenas no buenísimas que están!! Hay que probarlas. Gracias","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/26/a8/d0/d7/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-l/26/a8/d0/d6/caption.jpg
1. Linie am strand,g1009775-d4557879,"",friends,Toll am meer an der promenade perfekter service schnell freundlich kompetent tolle menus mit saisonalen angeboten spez paella fisch und meeresfruechte,"Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/27/b4/3b/69/caption.jpg,""
A éviter,g1009760-d5614563,"",friends,"Minable. Dans chaque assiette : 2 moules 1 petite crevette et 1 petite langoustine (vous pouvez les compter sur la photo, c’est un plat pour 5 personnes !!!2 moules lol j’en rirai presque si le prix n’était pas élevé. Mais en plus, c’est cher. N’y allez pas !!","Punteggio 1,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/08/0a/ed/caption.jpg,""
"a great "" mariscada"" !!!",g1009760-d3158055,19 settembre 2014,family,"una grande Mariscada! ottima cucina territoriale, pesdce fresco e cucinato con molta personalita,buon servizio , buon assortimento brandy ( anche l'introvabile  Mascaro' )catalani.
bella gente . il boss è un bel  tipo ( soprattutto Motero!)","Punteggio 5,0 su 5","",""
A mangiar sul delta dell'Ebro,g1009760-d3158055,23 agosto 2016,friends,"Dopo un lungo percorso tra le risaie si arriva in questo ristorante. Personale accogliente, cucina sublime! Perfetto il rapporto qualità-prezzo. Particolare attenzione ai bambini. Lo consiglio vivamente se si vuole fare una buona mangiata di pesce con prodotti a km 0.","Punteggio 5,0 su 5","",""
A spasso per il delta de l'ebre,g1007873-d2202784,7 ottobre 2018,couples,"Siamo arrivati a questo ristorante tramite una coppia di amici spagnoli habitué della zona
Cucinare il pesce è un arte e devo dire che a Casa Nuri l'arte è di casa
A parte gli antipasti vari e appetitosi dove hanno dato il meglio è nella preparazione della paella (non si tratta della classica paella che tutti conoscono risulta meno asciutta) a base di astice una vera emozione con un prezzo assolutamente al di sotto della qualità servita
Insomma se vi trovate in zona ve lo consiglio vivamente
Staff gentilissimo e nello stesso tempo discreto","Punteggio 4,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/14/f8/44/97/img-20181005-wa0005-largejpg.jpg,""
Abbiamo mangiato qui due volte - ottime pizze,g1007885-d3177792,6 luglio 2017,family,"Siamo venuti qui due volte dopo aver letto le recensioni di Trip Advisor. E' sempre deserti alle 8:00 quando si apre ma i locali arrivare molto più tardi e' chiaramente popolare

Pizza è ottima così come lo è il mix and match e salsa di pasta. I bambini hanno adorato. Vino economico e gratuito che scorre su ricariche

Non è possibile trovare alcuna colpa che cosa c'è che non va?","Punteggio 5,0 su 5","",""
Absoluta maravilla,g1009760-d5614563,"",business,"Una absoluta triunfada. Un arroz caldoso de cangrejo azul que es, literalmente, para llorar de gusto. Nunca pido caldosos, normalmente no me sientan bien… menos el de aquí que es LA PERFECCIÓN. Moltes gràcies!!! El servicio maravilloso.","Punteggio 5,0 su 5","",""
Accogliente ristorante incantevole,g1007873-d2366834,22 maggio 2016,couples,"Abbiamo avuto buon cibo, semplicemente rifinito e personale molto gentile. Incantevole. E' stato aperto da domenica sera e la camera era pulita, ben arredata in stile moderno e il personale ha fatto un grande sforzo per gli altoparlanti non-spagnolo.","Punteggio 5,0 su 5","",""
Aceptable,g1009775-d6970093,"",friends,"Quizá no sea el mejor sitio para tomar una calçotada. Los calçots desiguales, muy ricos los rebozados. El plato de acompañamiento no llega a los estándares de una calçotada, hay de todo, poca cantidad y algunos productos son mejorables. El servicio muy natural y amable","Punteggio 3,0 su 5","",""
Agradable y buena comida.,g1009775-d4557879,"",family,"Buena comida, buen servicio y en un lugar muy agradable. Excelente relación calidad precio, tanto el menu migfia como el de paella.","Punteggio 5,0 su 5","",""
Agriturismo da stella michelin,g1006061-d6905011,31 agosto 2016,friends,"Ospite di amici spagnoli, abbiamo pranzato in questo agriturismo bellissimo. Eravamo in 8 e tutti i piatti ordinati erano cucinati e presentati come uno stellato. Millefoglie di verdure top, agnello tipo thai molto buono, forse un po troppo aromatico, panino con hamburger perfetto , l unico problema lo abbiamo riscontrato con le chips..pensavamo fossero fresche, invece...ma si può soprassedere, per me è stato veramente top! Muy bueno!","Punteggio 5,0 su 5","",""
Always an experience!,g1009775-d6970093,"",family,Best place in the area. Really recommend it. Good service. Nice quality food and different options. Great jamon to best crema catalana!,"Punteggio 5,0 su 5","",""
Amazballs,g1007885-d3177792,11 giugno 2017,family,La seconda volta in due anni e ancora una volta non ci ha deluso. Era incredibile e una ad un buon prezzo troppo. Vedrete u nuovamente in futuro. Ash e Sarah,"Punteggio 5,0 su 5","",""
