Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
!!,g1006504-d3201313, 14 marzo 2024,family,I went last weekend with my family. The food was delicious and Sara was super kind with us!! We will come back!!         ….  ……………..,"Punteggio 5,0 su 5",,,1885
*** Perfect ***,g1005967-d10241689, 14 gennaio 2024,family,Been going there now for a couple of years and never anything other than a PERFECT experience.  Staff Perfect as is the food and ambience.,"Punteggio 5,0 su 5",,,2568
10/10 - All Round! Will be back,g1006504-d2509017, 5 maggio 2024,couples,"Came for lunch with my partner, cannot fault a thing, Food was amazing we both had dessert which is rare. Everything is reasonably priced and the staff are so helpful and friendly. We were served by Julie and she was nothing less than amazing, super friendly and helpful! The atmosphere is amazing too. Exactly what you want from a family pub. 10/10 all round","Punteggio 5,0 su 5",,,7
100% satisfaction,g1006175-d2354647, 13 febbraio 2024,friends,"Delicious Roast Beef lunch, served with Yorkshire Pudding, roast potatoes and roast parsnips. Broccoli, carrots, swede, cabbage and peas. Beef that melts in the mouth, what more could you ask for and very reasonably priced. No desert for me as the portion of my lunch was so large. 2 of my friends had sticky toffee pudding with custard and caramel sauce which they said was delicious. The owner went out of her way to welcome us and the staff were great. Nothing too much trouble for them. Can certainly recommend Topsey Turveys, lovely atmosphere and delicious food. I will be back asap","Punteggio 5,0 su 5",,,2373
100% will be back,g1006504-d4985353, 30 marzo 2024,business,Had a lovely meal with work colleagues. Would 100% recommend everyone was so lovely with every request we had. Thank you team,"Punteggio 5,0 su 5",,,2396
5 ⭐️ for Jess.,g1006504-d6620815, 28 luglio 2023,couples,5 ⭐️ for Jess. I mistakenly ordered the wrong food for my wife. This review if for the young lady whom changed it so nicely without any fuss. Thank you,"Punteggio 5,0 su 5",,,2023
5/5 food,g1006504-d3201313, 6 aprile 2024,family,"Visited as part of a large group for a milestone birthday. Our group was well looked after, all our menu changes were taken care of. Phil was serving us and he was absolutely fantastic, patient, and took great care of our group!","Punteggio 5,0 su 5",,,2268
A chilled afternoon,g1006504-d4985353, 8 maggio 2024,friends,"Bank holiday weekend and what better place to go than none other than Dorset’s 2024 Pub of the Year. A great afternoon was had sipping Guinness in their spacious garden. The weather held out nicely, and was topped with a great atmosphere orchestrated by the pub Landlady Frances and their latest member of staff, Conor. Would highly recommend","Punteggio 5,0 su 5",,,893
A disgrace to weatherspoons,g1006504-d6620815, 25 luglio 2021,none,"We visited this public house, and was greeted by a load of foul language, and very loud voices coming from what appeared to be some local dropouts. However weatherspoons appeared to be more than happy to have this clientele within their premises. There were a few other individual couples around the pub but it was extremely empty as to what could have been if the management took action to prevent a few individuals making it what can only be described as a dive. 
Tim weatherspoon would be less than happy with the experience we received today.

The only good thing was one of the ladies from the bar staff did try to get these individuals to quieten down but with no management support the foul language just continued.","Punteggio 1,0 su 5",,,99
A gem,g1005967-d13447953, 20 gennaio 2024,couples,A wonderful little gem of a tea room serving the most delicious fare in wonderful surroundings - lemon cake was our favourite,"Punteggio 5,0 su 5",,,1488
A great evening.,g1006504-d5816534, 26 settembre 2023,friends,"Can't fault our visit. 
A great evening at Forest Inn. Over 30 ex colleagues catching up. A superb set two course meal. Staff were excellent.  Everyone without exception wants to return..
Thank you to all the staff that made this such a memorable evening.","Punteggio 5,0 su 5",,,2077
A great experience,g1006504-d4985353, 20 aprile 2024,friends,"A beautiful establishment and have never met more welcoming and professional staff.
Frances and her team provide a hospitable and calming environment, alongside amazing and prompt due service.
They are happy to help in any way possible, whether that be questions about the food/ drinks to helping organise a birthday meal.

Would highly recommend to anyone","Punteggio 5,0 su 5",,,2182
